[datetime.date(2012, 7, 25), '3', '1', '45', '45', '14', '1', '16', '36', '125']
[datetime.date(2012, 7, 24), '10', '4', '54', '54', '9', None, '11', '32', '116']
[datetime.date(2012, 7, 23), '6', '3', '50', '50', '17', '4', '19', '38', '128']
[datetime.date(2012, 7, 22), '9', '4', '28', '28', '3', None, '6', '56', '68']
[datetime.date(2012, 7, 21), '7', None, '49', '49', '13', '2', '18', '46', '85']
[datetime.date(2012, 7, 20), '2', '1', '47', '47', '16', '1', '24', '29', '102']
[datetime.date(2012, 7, 19), '3', '3', '40', '40', '11', '2', '13', '15', None]
[datetime.date(2012, 7, 18), '3', '1', '58', '58', '14', '2', '15', '25', None]
[datetime.date(2012, 7, 17), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 7, 16), '3', '2', '55', '55', '12', '1', '14', '30', '150']
[datetime.date(2012, 7, 15), '5', '6', '39', '39', '10', None, '12', '52', '63']
[datetime.date(2012, 7, 14), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 7, 13), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 7, 12), '1', '2', '32', '32', '11', '1', '14', '28', '140']
[datetime.date(2012, 7, 11), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 7, 10), '6', '8', '48', '48', '18', None, '38', '27', '125']
[datetime.date(2012, 7, 9), '6', '4', '40', '40', '12', '2', '15', '31', '128']
[datetime.date(2012, 7, 8), '7', '9', '16', '16', '7', '5', '7', '45', '66']
[datetime.date(2012, 7, 7), '4', '4', '36', '36', '14', None, '15', '43', '92']
[datetime.date(2012, 7, 6), '2', '3', '44', '44', '12', None, '12', '56', '136']
[datetime.date(2012, 7, 5), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 7, 4), '5', '3', '54', '54', '14', None, '18', '34', '135']
[datetime.date(2012, 7, 3), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 7, 2), '2', '3', '44', '44', '6', None, '7', '33', '131']
[datetime.date(2012, 7, 1), '5', '7', '17', '17', '71', '2', '22', '55', '77']
[datetime.date(2012, 6, 30), '6', '8', '33', '33', '3', None, '3', '49', '91']
[datetime.date(2012, 6, 29), '1', '3', '47', '47', '18', '1', '24', '46', '151']
[datetime.date(2012, 6, 28), '1', '4', '36', '36', '10', '1', '14', '25', '100']
[datetime.date(2012, 6, 27), '1', '1', '51', '51', '13', None, '15', '23', '121']
[datetime.date(2012, 6, 26), '4', '1', '36', '36', '8', None, '11', '25', '105']
[datetime.date(2012, 6, 25), '2', '2', '50', '50', '6', None, '6', '39', '140']
[datetime.date(2012, 6, 24), '6', None, '19', '19', '15', '2', '20', '68', '72']
[datetime.date(2012, 6, 23), '3', '2', '26', '26', '15', '1', '24', '55', '103']
[datetime.date(2012, 6, 22), '4', '4', '47', '47', '15', None, '18', '54', '125']
[datetime.date(2012, 6, 21), '4', '1', '34', '34', '11', None, '16', '27', '143']
[datetime.date(2012, 6, 20), '4', None, '41', '41', '10', None, '15', '25', '126']
[datetime.date(2012, 6, 19), '3', '3', '35', '35', '11', '1', '17', '21', '149']
[datetime.date(2012, 6, 18), '4', '6', '50', '50', '11', '2', '13', '35', '138']
[datetime.date(2012, 6, 17), '5', '7', '32', '32', '10', '1', '9', '46', '62']
[datetime.date(2012, 6, 16), '2', '1', '40', '40', '14', '2', '13', '40', '115']
[datetime.date(2012, 6, 15), '2', '1', '51', '51', '12', '1', '16', '30', '145']
[datetime.date(2012, 6, 14), '2', '3', '42', '42', '10', None, '15', '19', '175']
[datetime.date(2012, 6, 13), '4', '2', '30', '30', '9', '1', '9', '22', '122']
[datetime.date(2012, 6, 12), '4', '2', '30', '30', '9', '1', '9', '22', '122']
[datetime.date(2012, 6, 11), '6', '5', '57', '57', '7', None, '9', '26', '110']
[datetime.date(2012, 6, 10), '4', '10', '33', '33', '9', '2', '12', '60', '85']
[datetime.date(2012, 6, 9), '4', '10', '33', '33', '9', '2', '12', '60', '85']
[datetime.date(2012, 6, 8), '4', None, '40', '40', '7', None, '8', '33', '112']
[datetime.date(2012, 6, 7), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 6, 6), '4', '1', '45', '45', '7', None, '8', '27', '134']
[datetime.date(2012, 6, 5), '3', '6', '46', '46', '7', None, '10', '16', '154']
[datetime.date(2012, 6, 4), '6', '2', '56', '56', '7', None, '7', '20', '150']
[datetime.date(2012, 6, 3), '9', '4', '32', '32', '6', '2', '7', '31', '58']
[datetime.date(2012, 6, 2), '9', '4', '46', '46', '7', None, '11', '42', '85']
[datetime.date(2012, 6, 1), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 5, 31), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 5, 30), '2', '2', '51', '51', '20', '2', '25', '18', '114']
[datetime.date(2012, 5, 29), '3', '2', '52', '52', '7', '1', '5', '16', '130']
[datetime.date(2012, 5, 28), '6', '6', '53', '53', '16', None, '23', '22', '167']
[datetime.date(2012, 5, 27), '7', '4', '29', '29', '10', None, '12', '54', '63']
[datetime.date(2012, 5, 26), '2', '3', '44', '44', '8', None, '9', '41', '102']
[datetime.date(2012, 5, 25), '3', '4', '35', '35', '15', '1', '14', '28', '142']
[datetime.date(2012, 5, 24), '2', '3', '44', '44', '9', '2', '8', '33', '151']
[datetime.date(2012, 5, 23), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 5, 22), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 5, 21), None, None, None, None, None, None, None, None, None]
